Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Static Method,"org.jfree.chart.ChartFactory.createStackedBarChart(String,String,String,CategoryDataset)",5,24,0,6,3,2,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Method,"org.jfree.chart.ChartFactory.createStackedBarChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",13,50,5,24,11,17,21,13,4,1,11,14,6,8,3,3,3,1,0,0,1,0,0.88
Public Static Method,"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String,String,String,TableXYDataset)",5,20,0,5,2,2,15,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Method,"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String,String,String,TableXYDataset,PlotOrientation,boolean,boolean,boolean)",16,52,5,29,13,22,19,15,4,1,18,21,8,13,3,3,3,1,0,0,1,0,0.66
Public Static Method,"org.jfree.chart.ChartFactory.createTimeSeriesChart(String,String,String,XYDataset)",5,25,0,5,2,2,20,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Static Method,"org.jfree.chart.ChartFactory.createTimeSeriesChart(String,String,String,XYDataset,boolean,boolean,boolean)",11,55,6,28,12,22,23,15,4,1,17,20,8,12,3,3,3,1,0,0,1,0,0.82
Public Static Method,"org.jfree.chart.ChartFactory.createWaferMapChart(String,WaferMapDataset,PlotOrientation,boolean,boolean,boolean)",6,27,2,12,7,8,13,7,1,0,7,8,4,4,1,1,1,1,0,0,0,0,1.08
Public Static Method,"org.jfree.chart.ChartFactory.createWaterfallChart(String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean)",18,69,5,44,18,34,20,21,12,1,23,28,10,18,5,5,5,1,1,0,1,0,0.45
Public Static Method,"org.jfree.chart.ChartFactory.createWindPlot(String,String,String,WindDataset,boolean,boolean,boolean)",9,36,3,19,9,13,14,12,4,1,10,13,6,7,3,3,3,1,0,0,1,0,0.74
Public Static Method,"org.jfree.chart.ChartFactory.createXYAreaChart(String,String,String,XYDataset)",6,22,0,5,2,2,17,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.40
Public Static Method,"org.jfree.chart.ChartFactory.createXYAreaChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",12,50,5,25,10,19,20,13,4,1,15,18,7,11,3,3,3,1,0,0,1,0,0.80
Public Static Method,"org.jfree.chart.ChartFactory.createXYBarChart(String,String,boolean,String,IntervalXYDataset)",7,23,0,5,2,2,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.60
Public Static Method,"org.jfree.chart.ChartFactory.createXYBarChart(String,String,boolean,String,IntervalXYDataset,PlotOrientation,boolean,boolean,boolean)",13,62,5,36,12,23,21,15,12,1,18,23,8,15,5,5,5,1,2,0,2,0,0.58
Public Static Method,"org.jfree.chart.ChartFactory.createXYLineChart(String,String,String,XYDataset)",8,16,0,5,2,2,11,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.20
Public Static Method,"org.jfree.chart.ChartFactory.createXYLineChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",28,40,3,21,9,15,16,13,4,1,12,15,6,9,3,3,3,1,0,0,1,0,0.76
Public Static Method,"org.jfree.chart.ChartFactory.createXYStepAreaChart(String,String,String,XYDataset)",6,17,0,5,2,2,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.40
Public Static Method,"org.jfree.chart.ChartFactory.createXYStepAreaChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",12,48,4,29,13,22,15,14,4,1,17,20,8,12,3,3,3,1,0,0,1,0,0.52
Public Static Method,"org.jfree.chart.ChartFactory.createXYStepChart(String,String,String,XYDataset)",5,17,0,5,2,2,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.40
Public Static Method,"org.jfree.chart.ChartFactory.createXYStepChart(String,String,String,XYDataset,PlotOrientation,boolean,boolean,boolean)",12,47,5,27,12,21,15,16,4,1,17,20,8,12,3,3,3,1,0,0,1,0,0.56
Public Static Method,org.jfree.chart.ChartFactory.getChartTheme(),2,13,0,3,1,1,10,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.33
Public Static Method,org.jfree.chart.ChartFactory.setChartTheme(ChartTheme),1,29,1,15,2,10,13,10,3,0,7,10,2,8,3,3,3,1,1,0,2,0,0.87
Public Constructor,"org.jfree.chart.ChartFrame.ChartFrame(String,JFreeChart)",2,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Constructor,"org.jfree.chart.ChartFrame.ChartFrame(String,JFreeChart,boolean)",6,19,0,11,1,7,8,7,2,0,5,7,1,6,2,2,2,1,1,0,1,0,0.73
Public Method,org.jfree.chart.ChartFrame.getChartPanel(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Private Constructor,org.jfree.chart.ChartHints.ChartHints(),0,3,0,2,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.50
Public Constructor,org.jfree.chart.ChartHints.Key.Key(int),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartHints.Key.isCompatibleValue(Object),1,19,0,11,1,8,8,3,3,0,3,5,1,4,3,2,6,1,3,0,1,0,0.73
Public Constructor,"org.jfree.chart.ChartMouseEvent.ChartMouseEvent(JFreeChart,MouseEvent,ChartEntity)",5,16,0,7,2,4,9,5,1,0,4,5,1,4,1,1,1,1,0,0,0,0,1.29
Public Method,org.jfree.chart.ChartMouseEvent.getChart(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartMouseEvent.getEntity(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartMouseEvent.getTrigger(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Abstract Method,org.jfree.chart.ChartMouseListener.chartMouseClicked(ChartMouseEvent),1,6,0,1,1,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.00
Abstract Method,org.jfree.chart.ChartMouseListener.chartMouseMoved(ChartMouseEvent),1,7,0,1,1,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.00
Public Constructor,org.jfree.chart.ChartPanel.ChartPanel(JFreeChart),23,18,1,12,1,10,10,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.83
Public Constructor,"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,boolean)",9,29,2,11,1,9,21,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.91
Public Constructor,"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,boolean,boolean,boolean,boolean,boolean)",13,24,2,7,2,4,15,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.14
Public Constructor,"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,int,int,int,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean)",16,33,1,8,4,3,24,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Constructor,"org.jfree.chart.ChartPanel.ChartPanel(JFreeChart,int,int,int,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean,boolean)",21,82,8,41,7,33,33,38,4,1,31,34,3,31,3,3,7,1,0,0,1,0,0.80
Public Method,org.jfree.chart.ChartPanel.actionPerformed(ActionEvent),20,79,4,67,4,46,8,21,36,2,22,41,4,37,19,19,19,1,16,0,2,0,0.12
Public Method,org.jfree.chart.ChartPanel.addChartMouseListener(ChartMouseListener),3,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,1.25
Public Method,org.jfree.chart.ChartPanel.addOverlay(Overlay),2,13,0,6,1,4,7,4,1,0,4,5,1,4,1,1,1,1,0,0,0,0,1.17
Public Method,org.jfree.chart.ChartPanel.chartChanged(ChartChangeEvent),1,14,0,9,3,6,5,5,2,0,5,7,3,4,2,2,2,1,0,0,1,0,0.56
Public Method,org.jfree.chart.ChartPanel.chartProgress(ChartProgressEvent),0,8,0,2,1,0,6,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Public Method,org.jfree.chart.ChartPanel.createChartPrintJob(),2,19,0,16,4,10,3,7,4,1,6,10,4,6,4,4,4,1,1,0,3,0,0.19
Protected Method,"org.jfree.chart.ChartPanel.createPopupMenu(boolean,boolean,boolean,boolean)",5,14,0,4,2,1,10,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.50
Protected Method,"org.jfree.chart.ChartPanel.createPopupMenu(boolean,boolean,boolean,boolean,boolean)",29,172,28,131,24,117,13,22,486,3,83,95,13,82,12,12,12,1,0,0,2,0,0.10
Private Method,"org.jfree.chart.ChartPanel.createSVGGraphics2D(int,int)",4,21,0,21,3,18,0,4,8,1,10,12,3,9,8,8,8,1,28,0,1,0,0.00
Protected Method,"org.jfree.chart.ChartPanel.displayPopupMenu(int,int)",15,61,8,44,5,31,9,5,1025,3,17,29,5,24,13,13,16,1,1,0,1,0,0.20
Public Method,org.jfree.chart.ChartPanel.doCopy(),6,16,0,11,8,8,5,11,1,0,6,7,6,1,1,1,1,1,0,0,0,0,0.45
Public Method,org.jfree.chart.ChartPanel.doEditChartProperties(),6,17,2,9,4,6,6,4,2,0,3,5,3,2,2,2,2,1,0,0,1,0,0.67
Public Method,org.jfree.chart.ChartPanel.doSaveAs(),5,26,1,19,6,14,6,15,4,1,9,13,5,8,4,4,4,1,0,0,3,0,0.32
Private Method,"org.jfree.chart.ChartPanel.drawHorizontalAxisTrace(Graphics2D,int)",5,29,4,17,2,12,8,10,3,0,7,10,2,8,3,3,4,1,1,0,2,0,0.47
Private Method,"org.jfree.chart.ChartPanel.drawVerticalAxisTrace(Graphics2D,int)",5,30,4,18,2,13,8,10,3,0,7,10,2,8,3,3,4,1,1,0,2,0,0.44
Private Method,"org.jfree.chart.ChartPanel.drawZoomRectangle(Graphics2D,boolean)",10,30,0,18,1,11,12,5,9,1,6,11,1,10,5,5,5,1,1,0,2,0,0.67
Private Method,"org.jfree.chart.ChartPanel.generateSVG(int,int)",5,36,0,20,5,16,16,8,12,1,9,12,5,7,7,7,7,1,15,0,1,0,0.80
Public Method,org.jfree.chart.ChartPanel.getAnchor(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getChart(),8,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getChartRenderingInfo(),2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getDefaultDirectoryForSaveAs(),1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.jfree.chart.ChartPanel.getDismissDelay(),1,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,"org.jfree.chart.ChartPanel.getEntityForPoint(int,int)",7,24,2,11,6,8,11,4,2,0,7,9,6,3,3,3,3,1,0,0,1,0,1.00
Public Method,org.jfree.chart.ChartPanel.getFillZoomRectangle(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.getHorizontalAxisTrace(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Protected Method,org.jfree.chart.ChartPanel.getHorizontalTraceLine(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getInitialDelay(),1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.jfree.chart.ChartPanel.getListeners(Class),3,17,0,8,1,4,9,3,2,0,2,4,1,3,2,2,2,1,1,0,1,0,1.13
Public Method,org.jfree.chart.ChartPanel.getMaximumDrawHeight(),2,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,org.jfree.chart.ChartPanel.getMaximumDrawWidth(),2,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,org.jfree.chart.ChartPanel.getMinimumDrawHeight(),2,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,org.jfree.chart.ChartPanel.getMinimumDrawWidth(),2,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Private Method,"org.jfree.chart.ChartPanel.getPointInRectangle(int,int,Rectangle2D)",4,15,0,5,3,3,10,7,1,0,3,4,3,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.getPopupMenu(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getRefreshBuffer(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.getReshowDelay(),1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.jfree.chart.ChartPanel.getScaleX(),2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.getScaleY(),2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.getScreenDataArea(),9,15,0,9,7,7,6,8,1,0,7,8,7,1,1,1,1,1,0,0,0,0,0.67
Public Method,"org.jfree.chart.ChartPanel.getScreenDataArea(int,int)",7,27,0,16,5,10,11,10,3,0,8,11,5,6,3,3,3,3,3,3,2,3,0.69
Public Method,org.jfree.chart.ChartPanel.getToolTipText(MouseEvent),6,23,0,16,6,11,7,7,4,1,6,10,5,5,4,4,4,1,0,0,3,0,0.44
Public Method,org.jfree.chart.ChartPanel.getVerticalAxisTrace(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Protected Method,org.jfree.chart.ChartPanel.getVerticalTraceLine(),1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Public Method,org.jfree.chart.ChartPanel.getZoomAroundAnchor(),1,13,0,3,1,1,10,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.33
Public Method,org.jfree.chart.ChartPanel.getZoomFillPaint(),1,13,0,3,1,1,10,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.33
Public Method,org.jfree.chart.ChartPanel.getZoomInFactor(),1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.jfree.chart.ChartPanel.getZoomOutFactor(),1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.33
Public Method,org.jfree.chart.ChartPanel.getZoomOutlinePaint(),1,13,0,3,1,1,10,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.33
Public Method,org.jfree.chart.ChartPanel.getZoomTriggerDistance(),1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.isDomainZoomable(),2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.isEnforceFileExtensions(),4,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Public Method,org.jfree.chart.ChartPanel.isMouseWheelEnabled(),2,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.67
Private Method,org.jfree.chart.ChartPanel.isOrsonPDFAvailable(),2,16,0,8,2,5,8,2,2,0,3,5,2,3,2,2,2,1,1,0,1,0,1.00
Public Method,org.jfree.chart.ChartPanel.isRangeZoomable(),2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,org.jfree.chart.ChartPanel.mouseClicked(MouseEvent),9,38,4,27,10,20,8,11,8,1,15,21,9,12,6,6,6,3,2,2,2,2,0.30
Public Method,org.jfree.chart.ChartPanel.mouseDragged(MouseEvent),14,99,7,76,15,59,16,29,37,2,35,47,14,33,12,12,15,5,10,5,2,5,0.21
Public Method,org.jfree.chart.ChartPanel.mouseEntered(MouseEvent),4,23,4,12,2,9,7,11,2,0,8,10,2,8,2,2,2,1,0,0,1,0,0.58
Public Method,org.jfree.chart.ChartPanel.mouseExited(MouseEvent),4,17,0,9,2,6,8,5,2,0,5,7,2,5,2,2,2,1,0,0,1,0,0.89
Public Method,org.jfree.chart.ChartPanel.mouseMoved(MouseEvent),11,42,4,31,10,22,7,13,40,2,16,24,10,14,8,8,8,1,1,0,2,0,0.23
Public Method,org.jfree.chart.ChartPanel.mousePressed(MouseEvent),6,50,0,39,7,27,11,20,12,1,13,23,6,17,10,10,12,1,3,0,4,0,0.28
