Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Constructor,"org.apache.tika.TestCorruptedFiles.CorruptAndParseTask.CorruptAndParseTask(byte[],Random)",6,8,0,8,2,6,0,8,1,0,6,7,2,5,1,1,1,1,0,0,0,0,0.00
Constructor,org.apache.tika.TestCorruptedFiles.MyEmbeddedDocumentExtractor.MyEmbeddedDocumentExtractor(Map<String>),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,"org.apache.tika.TestCorruptedFiles.MyEmbeddedDocumentExtractor.parseEmbedded(InputStream,ContentHandler,Metadata,boolean)",3,6,0,6,3,4,0,5,1,0,4,5,3,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.TestCorruptedFiles.MyEmbeddedDocumentExtractor.shouldParseEmbedded(Metadata),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Constructor,org.apache.tika.TestCorruptedFiles.ParseTask.ParseTask(byte[]),3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.TestCorruptedFiles.ParseTask.call(),2,9,0,8,1,5,1,3,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.13
Private Static Method,"org.apache.tika.TestCorruptedFiles.corrupt(InputStream,Random)",8,46,3,42,14,35,1,8,8,1,30,38,15,23,10,10,10,5,4,4,2,4,0.02
Private Method,org.apache.tika.TestCorruptedFiles.extract(byte[]),4,9,0,9,3,6,0,6,1,0,5,7,3,4,1,1,1,1,0,0,1,0,0.00
Private Method,org.apache.tika.TestCorruptedFiles.getBytes(String),6,5,0,5,2,3,0,4,1,0,3,4,2,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.tika.TestCorruptedFiles.reproduce(),0,11,1,10,3,7,0,3,1,0,5,7,3,4,1,1,1,1,0,0,1,0,0.00
Public Static Method,org.apache.tika.TestCorruptedFiles.setUp(),1,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Static Method,org.apache.tika.TestCorruptedFiles.tearDown(),2,7,0,7,1,4,0,4,2,0,2,4,1,3,2,2,2,1,1,0,1,0,0.00
