Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.invokerClosure(String),12,16,0,3,1,1,13,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.33
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.invokerClosure(String,Class<?>[],Object[])",4,20,0,4,2,1,16,3,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.nopClosure(),4,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,3.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.switchClosure(Map<Predicate,Closure>)",2,24,0,3,1,1,21,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,7.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.switchClosure(Predicate<? super E>[],Closure<? super E>[])",3,22,0,4,2,1,18,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.50
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.switchClosure(Predicate<? super E>[],Closure<? super E>[],Closure<? super E>)",5,25,0,5,3,1,20,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.switchMapClosure(Map<? extends E,Closure>)",2,34,0,16,6,12,18,9,4,1,10,14,7,7,3,3,3,1,0,0,1,0,1.13
Public Static Generic Method,"org.apache.commons.collections4.ClosureUtils.whileClosure(Predicate<? super E>,Closure<? super E>)",3,15,0,3,1,1,12,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,4.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockClosure.execute(T),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockClosure.reset(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockTransformer.transform(T),1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testChainedClosure(),2,50,4,46,4,44,0,9,32,2,34,40,4,36,6,6,6,1,5,0,1,0,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testDoWhileClosure(),1,14,2,12,2,10,0,6,2,0,8,10,2,8,2,2,2,1,1,0,1,0,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testExceptionClosure(),1,14,0,14,1,10,0,5,3,0,6,9,1,8,3,3,3,3,4,4,2,4,0.00
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testForClosure(),2,10,0,10,2,8,0,4,1,0,8,9,2,7,1,1,1,1,0,0,0,0,0.00
