Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Protected Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.LineLengthTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule32packagestate.LineLengthTest.testLineLength(),0,18,2,16,14,12,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter3filestructure.rule331nowildcard.AvoidStarImportTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule331nowildcard.AvoidStarImportTest.testStarImport(),0,16,2,14,10,10,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.FooFoo.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.FooFoo.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.ALL_UPPERCASE_METHOD(),0,4,0,3,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.33
Private Constructor,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.InputLineLength(),0,12,0,3,1,0,9,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,3.00
Private Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.localVariables(),0,21,2,15,7,8,4,0,4,1,10,13,9,4,3,3,3,1,0,0,1,0,0.27
Private Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.longMethod(),0,22,0,3,1,0,19,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,6.33
Method,"com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.test1(int,int,int)",0,13,0,6,3,1,7,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.17
